# RCA Studio II CRC16-CCITT inventory
# Polynomial: 0x1021; initial value: 0xFFFF; input: exact file bytes
# Scan root: folder containing this script
# Files: 480
#
CRC16	Bytes	Extension	Relative path
0039	768	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\Conic\chip8.bin
ED56	4096	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\Conic\conic_ntsc.bin
228D	4096	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\Conic\conic_pal.bin
F0D5	1024	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\Conic\hanimex.bin
FA4E	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\Conic\RCA_TEST_CARTRIDGE_TESTER1.st2
2526	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\baseball.st2
31AE	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\bingo.st2
DA69	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\biorhythm.st2
0ECC	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\concentration-match.st2
CEC2	768	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\fun-with-numbers.st2
1594	2304	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\grand-pack.st2
043E	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\gunfighter.st2
B2FF	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\mathfun.st2
92BA	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\pinball.st2
9D0D	768	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\school.st2
45B5	768	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\spacewar.st2
8404	768	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\speedway.st2
03E6	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\star-wars.st2
FB76	768	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Cartridges\tennis.st2
D481	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Homebrew\invsn.st2
D346	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Sarnoff-Collection\color-demo [AUD_2464_09_B41_ID09_01].st2
EF67	2304	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Sarnoff-Collection\color-runs [AUD_2464_09_B41_ID16_02].st2
61B8	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Sarnoff-Collection\color-stars-and-trek [AUD_2464_09_B41_ID09_02].st2
8CA7	3328	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Conic_StudioIII-Sarnoff-Collection\ST3CTA Tester 3.st2
2526	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Cartridges\baseball.st2
DA69	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Cartridges\biorhythm.st2
C8B4	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Cartridges\blackjack.st2
CEC2	768	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Cartridges\fun-with-numbers.st2
043E	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Cartridges\gunfighter.st2
B2FF	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Cartridges\mathfun.st2
3EAF	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Cartridges\RCA_demo.st2
9D0D	768	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Cartridges\school.st2
45B5	768	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Cartridges\spacewar.st2
8404	768	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Cartridges\speedway.st2
FB76	768	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Cartridges\tennis.st2
2B4D	1792	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\asteroids.st2
E080	1792	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\berzerk.st2
1139	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\Climber.st2
D87F	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\combat.st2
EE76	768	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\computer.st2
F7A3	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\fifteen.st2
D5DE	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\hockey.st2
0D1D	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\invaders.st2
8551	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\kaboom.st2
BE58	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\outbreak.st2
E00A	1792	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\pacman.st2
47EA	2816	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\race.st2
D2F0	512	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\rocket.st2
1280	1792	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\scramble.st2
4B55	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Homebrew\tv-arcade-2012.st2
FC34	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Sarnoff-Collection\game_pack.st2
68C5	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Sarnoff-Collection\gunfight [AUD_2464_09_B41_ID17_02].st2
670D	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Sarnoff-Collection\new_studio_2-5_game_set [AUD_2464_09_B41_ID03_01].st2
0C89	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Sarnoff-Collection\numbers [AUD_2464_09_B41_ID12_01].st2
0704	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Sarnoff-Collection\secret Number [AUD_2464_09_B41_ID08_02].st2
DD89	768	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Sarnoff-Collection\spacewar-2.st2
0E3C	768	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\StudioII-Sarnoff-Collection\spacewar-3.st2
EBF4	2304	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Visicom-Cartridges\cas-110-arithmetic_drill.st2
0192	2304	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Visicom-Cartridges\cas-130-sports_fan.st2
5433	2304	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Visicom-Cartridges\cas-140-gambler_i.st2
2F1A	2304	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Visicom-Cartridges\cas-141-gambler_ii.st2
BF97	2304	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Visicom-Cartridges\cas-160-space_command.st2
E4C4	2304	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\St2\Visicom-Cartridges\cas-190-bagua-blood-horoscope.st2
77BA	524288	.rom	RCA-Studio-II-Fullset\Collections\Emma 02\StudioII\39f040.final.rom
5DCD	524288	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioII\39sf040.auto.bin
0039	768	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioII\chip8.bin
FA4E	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\StudioII\RCA_TEST_CARTRIDGE_TESTER1.st2
9847	5773	.rom	RCA-Studio-II-Fullset\Collections\Emma 02\StudioII\studio2.rom
77BA	524288	.rom	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIII\39f040.final.rom
5DCD	524288	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIII\39sf040.auto.bin
0039	768	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIII\chip8.bin
FA4E	1280	.st2	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIII\RCA_TEST_CARTRIDGE_TESTER1.st2
ED56	4096	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIII\studio3_ntsc.bin
228D	4096	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIII\studio3_pal.bin
10B9	4096	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIV\am4kbas 1978.bin
62F6	4096	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIV\am4kbas 2020 NTSC.bin
2F74	4096	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIV\am4kbas 2020 PAL.bin
0CAE	4096	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIV\am4kbas 32K 2020 NTSC.bin
412C	4096	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIV\am4kbas 32K 2020 PAL.bin
BB2B	2048	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIV\Studio IV V2.bin
25D5	2048	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIV\Studio IV V3 NTSC.bin
2174	2048	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIV\Studio IV V3 PAL.bin
3C16	2048	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIV\super-chip NTSC.bin
1C90	2048	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\StudioIV\super-chip PAL.bin
77BA	524288	.rom	RCA-Studio-II-Fullset\Collections\Emma 02\Victory\39f040.final.rom
5DCD	524288	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\Victory\39sf040.auto.bin
0039	768	.bin	RCA-Studio-II-Fullset\Collections\Emma 02\Victory\chip8.bin
ED56	4096	.rom	RCA-Studio-II-Fullset\Collections\Emma 02\Victory\studio3.rom
228D	4096	.rom	RCA-Studio-II-Fullset\Collections\Emma 02\Victory\victory.rom
C47C	2048	.rom	RCA-Studio-II-Fullset\Collections\Emma 02\Visicom\visicom.rom
8B09	1280	.bin	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\180 Space War (S2-A3) 512 Bytes [AUD_2464_09_B41_ID05_01].bin
8B09	1280	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\180 Space War (S2-A3) 512 Bytes [AUD_2464_09_B41_ID05_01].st2
6D7D	2048	.bin	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\180 XL-1 (82-A1) Color Runs (Press 1-2) 8 Pages [AUD_2464_09_B41_ID16_02].bin
EF67	2304	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\180 XL-1 (82-A1) Color Runs (Press 1-2) 8 Pages [AUD_2464_09_B41_ID16_02].st2
2896	1280	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\180-V6LI-Basic Videomate 3 Game Package (B2-F4) [AUD_2464_09_B41_ID05_02].st2
82E9	1280	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Baseball-2K (80) [AUD_2464_09_B41_ID07].st2
5E41	1280	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Biorhythm [AUD_2464_09_B41_ID08_01].st2
BCF3	1024	.bin	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Color Demo (82-F4) [AUD_2464_09_B41_ID09_01].bin
D346	1280	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Color Demo (82-F4) [AUD_2464_09_B41_ID09_01].st2
F498	1024	.bin	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Colors Stars and Trek (82-Q1) [AUD_2464_09_B41_ID09_02].bin
61B8	1280	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Colors Stars and Trek (82-Q1) [AUD_2464_09_B41_ID09_02].st2
FC34	1280	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Game Pack (Doodle, Curling, Pong, Addition, Freeway) (Joseph Weisbecker).st2
68C5	1280	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Gunfight- 8 Page (37 [AUD_2464_09_B41_ID17_02].st2
670D	1280	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\New Studio 2-5 Game Set (BA) X2 [AUD_2464_09_B41_ID03_01].st2
B555	1024	.bin	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\New Studio 2-5 Game Set [AUD_2464_09_B41_ID03_01].bin
FC89	1024	.bin	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Numbers (82-F4) 1-2=Bagels, 3=Reverse [AUD_2464_09_B41_ID12_01].bin
0C89	1280	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Numbers (82-F4) 1-2=Bagels, 3=Reverse [AUD_2464_09_B41_ID12_01].st2
3690	2304	.bin	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Paul's Printer 8 Pages @0000 180 XL1 [AUD_2464_09_B41_ID13_01].bin
1AFB	512	.bin	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Print Snoopy (22-A3) [AUD_2464_09_B41_ID14_01].bin
9784	1024	.bin	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Secret Number [AUD_2464_09_B41_ID08_02].bin
0704	1280	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Secret Number [AUD_2464_09_B41_ID08_02].st2
75E2	3072	.bin	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\ST3CTA Tester 3 Cartridge.bin
8CA7	3328	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\ST3CTA Tester 3 Cartridge.st2
3131	1280	.bin	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Studio 2 Quiz (B2-F4) [AUD_2464_09_B41_ID04_02].bin
3131	1280	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Studio 2 Quiz (B2-F4) [AUD_2464_09_B41_ID04_02].st2
B1CB	251	.bin	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Studio II-TV Tennis -Unidentified Side 02 [AUD_2464_09_B41_ID33_02].bin
7E99	1280	.bin	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Studio II-TV Tennis (ANDY) 8Pages@0000 [AUD_2464_09_B41_ID33_01].bin
B03D	1280	.st2	RCA-Studio-II-Fullset\Collections\Hagley Digital Archives\Tag Race (82-F4) Joyce 11-76 8 Pages @0000 [AUD_2464_09_B41_ID17_01].st2
BBC8	512	.bin	RCA-Studio-II-Fullset\Collections\Joseph Weisbecker\A Cheap Graphics Computer (1978) (Joseph Weisbecker).bin
EE76	768	.st2	RCA-Studio-II-Fullset\Collections\Joseph Weisbecker\A Cheap Graphics Computer (1978) (Joseph Weisbecker).st2
D8C2	1024	.bin	RCA-Studio-II-Fullset\Collections\Joseph Weisbecker\Studio II Programming Examples by Joseph Weisbecker - Move 1 (PD).bin
FF76	1024	.bin	RCA-Studio-II-Fullset\Collections\Joseph Weisbecker\Studio II Programming Examples by Joseph Weisbecker - Move 2 (PD).bin
0856	1024	.bin	RCA-Studio-II-Fullset\Collections\Joseph Weisbecker\Studio II Programming Examples by Joseph Weisbecker - Move 3 (PD).bin
51A6	1024	.bin	RCA-Studio-II-Fullset\Collections\Joseph Weisbecker\Studio II Programming Examples by Joseph Weisbecker - Random 1 (PD).bin
4447	1024	.bin	RCA-Studio-II-Fullset\Collections\Joseph Weisbecker\Studio II Programming Examples by Joseph Weisbecker - Random 2 (PD).bin
C78E	1024	.bin	RCA-Studio-II-Fullset\Collections\Joseph Weisbecker\Studio II Programming Examples by Joseph Weisbecker - Show Key (PD).bin
C903	1024	.bin	RCA-Studio-II-Fullset\Collections\Joseph Weisbecker\Studio II Programming Examples by Joseph Weisbecker - Tone (PD).bin
AD6A	1024	.bin	RCA-Studio-II-Fullset\Collections\Lee Romanow\Climber v1.00 (2013.05.15) (Lee Romanow) (PD).bin
1139	1280	.st2	RCA-Studio-II-Fullset\Collections\Lee Romanow\Climber v1.00 (2013.05.15) (Lee Romanow) (PD).st2
3244	1024	.bin	RCA-Studio-II-Fullset\Collections\Lee Romanow\Fifteen Puzzle (2017.12.12) (Lee Romanow) (PD).bin
9562	1280	.st2	RCA-Studio-II-Fullset\Collections\Lee Romanow\Fifteen Puzzle (2017.12.12) (Lee Romanow) (PD).st2
2DDB	1024	.bin	RCA-Studio-II-Fullset\Collections\Lee Romanow\Invasion, The v1.00 (2019.01.01) (Lee Romanow) (PD).bin
13A3	1280	.st2	RCA-Studio-II-Fullset\Collections\Lee Romanow\Invasion, The v1.00 (2019.01.01) (Lee Romanow) (PD).st2
A83F	1024	.bin	RCA-Studio-II-Fullset\Collections\Lee Romanow\Outbreak v1.00 (2013.06.15) (Lee Romanow) (PD).bin
BE58	1280	.st2	RCA-Studio-II-Fullset\Collections\Lee Romanow\Outbreak v1.00 (2013.06.15) (Lee Romanow) (PD).st2
127F	256	.bin	RCA-Studio-II-Fullset\Collections\Lee Romanow\Rocket v1.01 (2010.08.23) (Lee Romanow) (PD).bin
D2F0	512	.st2	RCA-Studio-II-Fullset\Collections\Lee Romanow\Rocket v1.01 (2010.08.23) (Lee Romanow) (PD).st2
E3CF	1024	.bin	RCA-Studio-II-Fullset\Collections\Lee Romanow\TV Arcade 2012 v1.00 (2012.12.12) (Lee Romanow) (PD).bin
4B55	1280	.st2	RCA-Studio-II-Fullset\Collections\Lee Romanow\TV Arcade 2012 v1.00 (2012.12.12) (Lee Romanow) (PD).st2
77BA	524288	.rom	RCA-Studio-II-Fullset\Collections\Multi-Cart (FLiP)\40th Anniversary Multi-Cart (39f040.final.rom) (2016) (FLiP).rom
5DCD	524288	.bin	RCA-Studio-II-Fullset\Collections\Multi-Cart (FLiP)\40th Anniversary Multi-Cart (39sf040.auto.bin) (2016) (FLiP).bin
1943	3072	.bin	RCA-Studio-II-Fullset\Collections\Paul Robson\Asteroids (2013.03.29) (Paul Robson) (PD).bin
2B4D	1792	.st2	RCA-Studio-II-Fullset\Collections\Paul Robson\Asteroids (2013.03.29) (Paul Robson) (PD).st2
787D	1536	.bin	RCA-Studio-II-Fullset\Collections\Paul Robson\Berzerk (2013.04.15) (Paul Robson) (PD).bin
E080	1792	.st2	RCA-Studio-II-Fullset\Collections\Paul Robson\Berzerk (2013.04.15) (Paul Robson) (PD).st2
54C7	1024	.bin	RCA-Studio-II-Fullset\Collections\Paul Robson\Combat v1 (2000.10.11) (Paul Robson) (PD).bin
